28 INTERFACES
INTERFACE XX LowerGrey
2 POINTS
 10173.799999999999 23672.200000000001
 10157.700000000001 23343.799999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperGrey
2 POINTS
 10494.100000000000 22887.299999999999
 10782.500000000000 22959.400000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Orange
3 POINTS
 10662.400000000000 22478.799999999999
 10998.799999999999 22590.900000000001
 11383.200000000001 22727.099999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperPink
6 POINTS
 10654.299999999999 22054.299999999999
 10878.600000000000 22078.299999999999
 10990.799999999999 22078.299999999999
 11014.799999999999 22022.200000000001
 10982.700000000001 21958.099999999999
 10822.600000000000 21789.900000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Plum
3 POINTS
 12905.100000000000 22414.700000000001
 13009.200000000001 22671.000000000000
 13145.400000000000 22983.400000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerGrey
2 POINTS
 12752.900000000000 22342.599999999999
 12817.000000000000 22486.799999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperGrey
2 POINTS
 12624.799999999999 22294.500000000000
 12664.799999999999 22430.700000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerGrey
2 POINTS
 13727.100000000000 20022.700000000001
 13890.500000000000 20446.099999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerGrey
2 POINTS
 13979.600000000000 20928.900000000001
 13793.900000000000 21032.900000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerPink
2 POINTS
 13660.200000000001 21642.000000000000
 13385.400000000000 21508.299999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerPink
2 POINTS
 13355.600000000000 21382.000000000000
 13140.200000000001 21270.599999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Plum
2 POINTS
 13288.799999999999 20906.599999999999
 12910.000000000000 20691.200000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerGrey
2 POINTS
 13214.500000000000 20691.200000000001
 12858.000000000000 20520.400000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperGrey
2 POINTS
 13184.799999999999 20512.900000000001
 12872.799999999999 20394.099999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Green
3 POINTS
 13223.100000000000 21953.799999999999
 13283.400000000000 22085.599999999999
 13400.100000000000 22240.000000000000
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerPink
3 POINTS
 13034.799999999999 22236.299999999999
 13125.200000000001 22353.000000000000
 13226.900000000000 22454.700000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Plum
3 POINTS
 12364.400000000000 21953.799999999999
 12435.900000000000 22059.299999999999
 12496.200000000001 22168.500000000000
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Plum
3 POINTS
 11636.799999999999 21258.099999999999
 11809.000000000000 21441.500000000000
 12044.799999999999 21651.099999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Plum
3 POINTS
 11434.700000000001 20756.599999999999
 11442.200000000001 20928.799999999999
 11494.600000000000 21071.000000000000
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerGrey
3 POINTS
 11270.000000000000 20887.599999999999
 11255.100000000000 20730.400000000001
 11288.799999999999 20599.400000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX LowerGrey
3 POINTS
 11359.900000000000 21123.400000000001
 11460.900000000000 21273.099999999999
 11565.700000000001 21389.099999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperGrey
3 POINTS
 11124.100000000000 20745.400000000001
 11131.600000000000 20606.900000000001
 11172.700000000001 20479.599999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperGrey
3 POINTS
 11165.200000000001 20981.200000000001
 11210.200000000001 21108.400000000001
 11270.000000000000 21209.500000000000
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Orange
3 POINTS
 10738.600000000000 20255.099999999999
 10689.900000000000 20386.099999999999
 10678.700000000001 20487.099999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Orange
3 POINTS
 10674.900000000000 20674.200000000001
 10689.900000000000 20831.400000000001
 10727.299999999999 20969.900000000001
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Orange
2 POINTS
 11011.799999999999 21617.400000000001
 11127.799999999999 21774.599999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX UpperPink
4 POINTS
 10392.700000000001 20204.299999999999
 10361.500000000000 20297.799999999999
 10334.799999999999 20502.599999999999
 10330.299999999999 20725.299999999999
    0 ASSOCIATEDORIENTATIONS
INTERFACE XX Blue
2 POINTS
 10032.000000000000 20297.799999999999
 10005.299999999999 20444.700000000001
    0 ASSOCIATEDORIENTATIONS
0 HINGELINES
0 FOLIATIONS
0 TOITS
0 REGIONS
0 TRAJECTORIES
0 SONDAGES
0 AXIALTRACES
0 AXIALPLANES
0 INTERSECTIONS
0 INTERSECTIONNAMES
